Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,Total IDA and IBRD Commitment $US,Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2,
P161086,South Asia,People's Republic of Bangladesh,Active,Bangladesh: Enhancing Digital Government & Economy Project,"To improve the efficiency and cybersecurity of digital government, and increase digitally enabled employment and raise revenues of I T industry firms supported by the Project.",Bangladesh Computer Council,No,https://projects.worldbank.org/en/projects-operations/project-detail/P161086,"June 19, 2020","September 30, 2025",,Other,305000000,,,305000000,,People's Republic of Bangladesh,Investment Project Financing,B,,Central Government (Central Agencies),Public Administration - Information and Communications Technologies,ICT Services,,,
P173281,Latin America and Caribbean,Republic of Haiti,Active,AF Haiti Rural Accessibility & Resilience Project,The Project Development Objectives are to: (i) increase all-weather road access in selected sub-regions; (ii) improve the resilience  of selected segments of the road network; and (iii) to provide immediate and effective response to an eligible crisis or emergency.,"Unite Technique d'Execution, Unite Centrale d' Execution  of the Ministry of Public Works (UCE)",No,https://projects.worldbank.org/en/projects-operations/project-detail/P173281,"June 18, 2020",,,IDA,0,,,0,,The Republic of Haiti,Investment Project Financing,,,Rural and Inter-Urban Roads,Public Administration - Transportation,,,,
P173746,East Asia and Pacific,People's Republic of China,Active,"Emerging Infectious Diseases Prevention, Preparedness and Response Project",The proposed project development objective is to strengthen selected national and provincial systems to pilot a multi-sectoral appro ach for reducing the risk of zoonotic and other emerging health threats.,"Ministry of Agriculture and Rural Affairs, Hainan Provincial Development Reform Commission, Jiangxi Provincial Department of Finance",No,https://projects.worldbank.org/en/projects-operations/project-detail/P173746,"June 18, 2020","December 31, 2027",,IBRD,350000000,,,350000000,,People's Republic of China,Investment Project Financing,,Substantial,Livestock,"Public Administration - Agriculture, Fishing & Forestry",,,,
P163836,Eastern and Southern Africa,Republic of Uganda,Active,Irrigation for Climate Resilience Project (ICRP),"To provide farmers in the project areas with access to irrigation and other agricultural services, and to establish management arran gements for irrigation service delivery",Ministry of Water and Environment,No,https://projects.worldbank.org/en/projects-operations/project-detail/P163836,"June 18, 2020","April 30, 2026",,Other,0,,,0,,Republic of Uganda,Investment Project Financing,A,,Irrigation and Drainage,"Agricultural Extension, Research, and Other Support Activities","Public Administration - Agriculture, Fishing & Forestry",,,
P158079,East Asia and Pacific,People's Republic of China,Active,China: Jiangxi Eco-industrial Parks Project,To strengthen Jiangxi’s institutional and regulatory framework for eco-industrial parks (EIP) to be consistent with the Internationa l EIP Framework and demonstrate its implementation in the Fuzhou New Industries Zone.,"Fuzhou New Industries Zone, Jiangxi Development and Reform Commission",No,https://projects.worldbank.org/en/projects-operations/project-detail/P158079,"June 18, 2020","December 31, 2026",,Other,400000000,,,400000000,,People's Republic of China,Investment Project Financing,B,,Renewable Energy Solar,"Public Administration - Water, Sanitation and Waste Management",Forestry,,,
P172668,Europe and Central Asia,Republic of Moldova,Active,Second District Heating Efficiency Improvement Project,The Development Objective of the Project is to increase the efficiency of the District Heating system in Chisinau.,Moldova Energy Projects Implementation Unit,No,https://projects.worldbank.org/en/projects-operations/project-detail/P172668,"June 18, 2020","December 31, 2025",,IBRD,100000000,,,100000000,,"Republic of Moldova, Vasile Leu",Investment Project Financing,,Moderate,Other Energy and Extractives,Public Administration - Energy and Extractives,,,,
P168185,Western and Central Africa,Western and Central Africa,Active,Cameroon - Chad Power Interconnection Project,The Project Development Objective is to : (i) interconnect the Southern and Northern power systems of Cameroon; (ii) enable electric ity trade between Cameroon and Chad; and (iii) increase access to electricity in the Chad capital city of N’Djamena.,"SONATREL, SNE",No,https://projects.worldbank.org/en/projects-operations/project-detail/P168185,"June 16, 2020","December 31, 2027",,Other,0,,,0,"265,500,000","Republic of Cameroon, Republic of Chad",Investment Project Financing,A,,Energy Transmission and Distribution,Renewable Energy Solar,Public Administration - Energy and Extractives,,,
P172426,Middle East and North Africa,Arab Republic of Egypt,Active,Supporting Egypt’s Universal Health Insurance System,"To (i) increase the coverage of Egypt’s Universal Health Insurance System in Phase I Governorates, (ii) strengthen UHIS-related gove rnance and institutions, and (iii) provide temporary financial protection against high out of pocket health expenditures for vulnera ble populations outside Phase I Governorates.",Ministry of Finance,No,https://projects.worldbank.org/en/projects-operations/project-detail/P172426,"June 16, 2020","October 31, 2024",,Other,0,,,0,,Arab Republic of Egypt,Investment Project Financing,,Substantial,Health,Public Administration - Health,,,,
P173944,Middle East and North Africa,Kingdom of Morocco,Closed,Improving Primary Health in Rural Areas and Responding to COVID-19 Pandemic Emergency,The objective of the Program is to expand access to primary health care in targeted rural areas and to strengthen detection and case  management to respond to the COVID-19 pandemic in the Program Area.,Ministry of Health,No,https://projects.worldbank.org/en/projects-operations/project-detail/P173944,"June 16, 2020",,,IBRD,0,,,0,,Kingdom of Morocco,Program-for-Results Financing,,,Health,Public Administration - Health,,,,
P169901,Latin America and Caribbean,Republic of Honduras,Active,Water Security in the Dry Corridor of Honduras,To improve water service delivery and strengthen water governance in selected areas of the Dry Corridor of Honduras.,Secretaría de Agricultura y Ganandería,No,https://projects.worldbank.org/en/projects-operations/project-detail/P169901,"June 12, 2020","December 30, 2025",,Other,0,,,0,,Republic of Honduras,Investment Project Financing,,High,"Public Administration - Water, Sanitation and Waste Management",Irrigation and Drainage,,,,
P171611,Western and Central Africa,Republic of Chad,Active,Chad Local Development and Adaptation Project,The project development objective is to improve the management of natural resources and the livelihood of populations in selected cl imate vulnerable areas in and around the Ouadi Rime and Ouadi Achim (OROA) reserve in Chad​.,"Ministry of Envrionment, Water and Fisheries",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171611,"June 12, 2020","October 31, 2025",,IDA,0,,,0,,Republic of Chad,Investment Project Financing,,Moderate,"Public Administration - Agriculture, Fishing & Forestry",Sub-National Government,Forestry,,,
P173415,Eastern and Southern Africa,Democratic Republic of the Congo,Active,Fourth Additional Financing for Health System Strengthening for Better Maternal and Child Health Results Project,"To improve utilization and quality of maternal and child health services in targeted areas within the Recipient's Territory and,   t o provide an immediate and effective response to an eligible crisis or emergency","Ministry of Health, Ministry of Finance",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P173415,"June 11, 2020",,,IDA,0,,,0,,Democratic Republic of Congo,Investment Project Financing,,,Health,Public Administration - Health,Health Facilities and Construction,,,
P170409,South Asia,Nepal,Active,Nepal Strategic Road Connectivity and Trade Improvement Project,"To improve the efficiency and safety of select transport infrastructure, improve the efficiency of cross-border trade, and strengthe n capacity for Strategic Road Network management in Nepal.","Ministry of Industry, Commerce and Supplies, Ministry of Physical Infrastructure and Transport",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P170409,"June 10, 2020","July 15, 2027",,Other,0,,,0,,Nepal,Investment Project Financing,,High,Rural and Inter-Urban Roads,Public Administration - Transportation,Trade,,,
P172578,Middle East and North Africa,West Bank and Gaza,Active,Wastewater Management Sustainability Project,The Project Development Objectives are to: (i) support the continuation of wastewater treatment services in North Gaza; and (ii) str engthen the capacity of the water institutions to efficiently manage wastewater services.,Palestinian Water Authority,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P172578,"June 10, 2020","June 30, 2024",,Grants,0,,,0,"13,700,000",Palestinian Ministry of Finance,Investment Project Financing,,Substantial,Sanitation,"Public Administration - Water, Sanitation and Waste Management",,,,
P174075,East Asia and Pacific,Federated States of Micronesia,Active,FSM Maritime Investment Project Additional Financing,"To improve the safety, efficiency and climate resilience of maritime infrastructure and operations in the Recipient's territory, and  in the event of an Eligible Crisis or Emergency, to provide an immediate response to the Eligible Crisis or Emergency.","Department of Environment, Climate Change and Emergency Management, Department of Transportation, Communication & Infrastructure, Department of Justice",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174075,"June 5, 2020",,,IDA,0,,,0,,Federated States of Micronesia,Investment Project Financing,,,Public Administration - Transportation,,,,,
P166695,Western and Central Africa,Republic of The Gambia,Active,GAMBIA FISCAL MANAGEMENT DEVELOPMENT PROJECT,The Project Development Objective is to increase fiscal space and improve effectiveness of public resources management.,Department of Public and Private Partnership and Public Enterprises - DPPP&PE,No,https://projects.worldbank.org/en/projects-operations/project-detail/P166695,"June 4, 2020","June 30, 2025",,IDA,0,,,0,,THE GAMBIA,Investment Project Financing,,Moderate,Central Government (Central Agencies),Sub-National Government,,,,
P151075,South Asia,Islamic Republic of Pakistan,Active,Pakistan Community Support Project (CASA-1000),The Project Development Objective (PDO) is to improve access to local infrastructure and strengthen community engagement in the proj ect areas.,"Sustainable Development Unit, Planning and Development Department, Government of Khyber Pakhtunkhwa",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P151075,"June 3, 2020","June 30, 2023",,Grants,15000000,,,15000000,"15,000,000","Islamic Republic of Pakistan, Ministry of Economic Affairs",Investment Project Financing,B,,Sub-National Government,Energy Transmission and Distribution,"Other Agriculture, Fishing and Forestry",,,
P172631,South Asia,Republic of Maldives,Active,Maldives Learning Advancement and Measurement Project,The project development objective is to promote learning focused curriculum implementation and strengthen the measurement of learnin g outcomes,Ministry of Education,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P172631,"June 2, 2020","June 30, 2024",,Grants,3100000,,,3100000,"3,100,000",Republic of Maldives,Investment Project Financing,,Low,Public Administration - Education,Primary Education,Tertiary Education,,,
